like
long_long
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 0, 0, 1
 4, 0, 0, 1
 5, 0, 0, 1
 6, 0, 0, 1
 7, 0, 0, 1
 8, 2367/120175, 30771, 1562275
 9, 197491/1562275, 394982, 3124550
10, 1572988/5311735, 1572988, 5311735
11, 95577/203320, 3631926, 7726160
12, 1514269/2414425, 6057076, 9657700
13, 983804/1300075, 7870432, 10400600
14, 8248387/9657700, 8248387, 9657700
15, 444479/482885, 7111664, 7726160
16, 5106118/5311735, 5106118, 5311735
17, 61467/62491, 3073350, 3124550
18, 1553229/1562275, 1553229, 1562275
19, 13135/13156, 656750, 657800
20, 3288/3289, 230160, 230230
21, 32889/32890, 65778, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
