like
long_short
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 0, 0, 1
 4, 0, 0, 1
 5, 0, 0, 1
 6, 0, 0, 1
 7, 25329/328900, 50658, 657800
 8, 599283/1562275, 599283, 1562275
 9, 40889/62491, 2044450, 3124550
10, 330831/408595, 4300803, 5311735
11, 696705/772616, 6967050, 7726160
12, 2302366/2414425, 9209464, 9657700
13, 254876/260015, 10195040, 10400600
14, 2396376/2414425, 9585504, 9657700
15, 202819/203320, 7707122, 7726160
16, 5308074/5311735, 5308074, 5311735
17, 1562029/1562275, 3124058, 3124550
18, 1562232/1562275, 1562232, 1562275
19, 328899/328900, 657798, 657800
20, 1, 230230, 230230
21, 1, 65780, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
