like
long
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 0, 0, 1
 4, 24/575, 624, 14950
 5, 274/1495, 12056, 65780
 6, 46954/115115, 93908, 230230
 7, 101873/164450, 407492, 657800
 8, 1206313/1562275, 1206313, 1562275
 9, 1358361/1562275, 2716722, 3124550
10, 4929877/5311735, 4929877, 5311735
11, 3716883/3863080, 7433766, 7726160
12, 2368897/2414425, 9475588, 9657700
13, 5154589/5200300, 10309178, 10400600
14, 2405307/2414425, 9621228, 9657700
15, 3857429/3863080, 7714858, 7726160
16, 1061823/1062347, 5309115, 5311735
17, 1562062/1562275, 3124124, 3124550
18, 1562232/1562275, 1562232, 1562275
19, 328899/328900, 657798, 657800
20, 1, 230230, 230230
21, 1, 65780, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
