like
short
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 3/26, 300, 2600
 4, 129/325, 5934, 14950
 5, 23289/32890, 46578, 65780
 6, 2253/2530, 205023, 230230
 7, 31753/32890, 635060, 657800
 8, 1546979/1562275, 1546979, 1562275
 9, 1558248/1562275, 3116496, 3124550
10, 5308393/5311735, 5308393, 5311735
11, 227209/227240, 7725106, 7726160
12, 371441/371450, 9657466, 9657700
13, 1300071/1300075, 10400568, 10400600
14, 4828849/4828850, 9657698, 9657700
15, 1, 7726160, 7726160
16, 1, 5311735, 5311735
17, 1, 3124550, 3124550
18, 1, 1562275, 1562275
19, 1, 657800, 657800
20, 1, 230230, 230230
21, 1, 65780, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
