l,i,k,e
s,h,o,r,t
0,1,2
0,1,3
0,2,4
0,2,5
0,3,4
0,3,5
0,4,6
0,4,7
0,5,6
0,5,7
0,8,6
0,9,6
0,8,7
0,9,7
0,8,10
0,8,11
0,9,10
0,9,11
0,10,12
0,10,13
0,11,12
0,11,13
0,12,14
0,12,15
0,13,14
0,13,15
0,16,14
0,17,14
0,16,15
0,17,15
0,16,18
0,16,19
0,17,18
0,17,19
0,18,20
0,18,21
0,19,20
0,19,21
0,20,22
0,20,23
0,21,22
0,21,23
0,24,22
0,25,22
0,24,23
0,25,23
1,2,4
1,2,5
1,3,4
1,3,5
1,4,6
1,4,7
1,5,6
1,5,7
8,1,6
1,6,9
8,1,7
1,9,7
8,1,10
8,1,11
1,10,9
1,11,9
1,10,12
1,10,13
1,11,12
1,11,13
1,12,14
1,12,15
1,13,14
1,13,15
16,1,14
1,14,17
16,1,15
1,17,15
16,1,18
16,1,19
1,18,17
1,19,17
1,18,20
1,18,21
1,19,20
1,19,21
1,20,22
1,20,23
1,21,22
1,21,23
24,1,22
1,22,25
24,1,23
1,25,23
2,3,6
2,3,7
8,2,4
9,2,4
8,2,5
9,2,5
2,10,6
2,11,6
2,10,7
2,11,7
8,2,12
8,2,13
9,2,12
9,2,13
2,10,14
2,10,15
2,11,14
2,11,15
16,2,12
17,2,12
16,2,13
17,2,13
2,18,14
2,19,14
2,18,15
2,19,15
16,2,20
16,2,21
17,2,20
17,2,21
2,18,22
2,18,23
2,19,22
2,19,23
24,2,20
25,2,20
24,2,21
25,2,21
8,3,4
9,3,4
8,3,5
9,3,5
10,3,6
11,3,6
10,3,7
11,3,7
8,3,12
8,3,13
9,3,12
9,3,13
10,3,14
10,3,15
11,3,14
11,3,15
16,3,12
17,3,12
16,3,13
17,3,13
18,3,14
19,3,14
18,3,15
19,3,15
16,3,20
16,3,21
17,3,20
17,3,21
18,3,22
18,3,23
19,3,22
19,3,23
24,3,20
25,3,20
24,3,21
25,3,21
10,4,5
11,4,5
4,12,6
4,13,6
4,12,7
4,13,7
8,4,14
8,4,15
9,4,14
9,4,15
16,10,4
17,10,4
16,11,4
17,11,4
18,4,12
19,4,12
18,4,13
19,4,13
4,20,14
4,21,14
4,20,15
4,21,15
16,4,22
16,4,23
17,4,22
17,4,23
24,18,4
25,18,4
24,19,4
25,19,4
12,5,6
13,5,6
12,5,7
13,5,7
8,5,14
8,5,15
9,5,14
9,5,15
16,10,5
17,10,5
16,11,5
17,11,5
18,12,5
19,12,5
13,18,5
13,19,5
20,5,14
21,5,14
20,5,15
21,5,15
16,5,22
16,5,23
17,5,22
17,5,23
24,18,5
25,18,5
24,19,5
25,19,5
14,6,7
15,6,7
8,16,6
8,17,6
16,9,6
9,6,17
10,18,6
10,19,6
18,11,6
19,11,6
12,20,6
12,21,6
20,13,6
21,13,6
22,6,14
23,6,14
22,6,15
23,6,15
16,24,6
16,25,6
24,17,6
17,6,25
8,16,7
8,17,7
16,9,7
9,17,7
10,18,7
10,19,7
18,11,7
19,11,7
12,20,7
12,21,7
20,13,7
21,13,7
22,14,7
23,14,7
15,22,7
15,23,7
16,24,7
16,25,7
24,17,7
17,25,7
8,9,18
8,9,19
8,10,20
8,10,21
8,11,20
8,11,21
8,12,22
8,12,23
8,13,22
8,13,23
8,24,14
8,25,14
8,24,15
8,25,15
9,10,20
9,10,21
9,11,20
9,11,21
9,12,22
9,12,23
9,13,22
9,13,23
24,9,14
9,14,25
24,9,15
9,25,15
10,11,22
10,11,23
24,10,12
25,10,12
24,10,13
25,10,13
24,11,12
25,11,12
24,11,13
25,11,13
