opp
long_long
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 0, 0, 1
 4, 0, 0, 1
 5, 0, 0, 1
 6, 0, 0, 1
 7, 0, 0, 1
 8, 24318/120175, 316134, 1562275
 9, 1324781/1562275, 2649562, 3124550
10, 5295834/5311735, 5295834, 5311735
11, 1931463/1931540, 7725852, 7726160
12, 2414423/2414425, 9657692, 9657700
13, 1, 10400600, 10400600
14, 1, 9657700, 9657700
15, 1, 7726160, 7726160
16, 1, 5311735, 5311735
17, 1, 3124550, 3124550
18, 1, 1562275, 1562275
19, 1, 657800, 657800
20, 1, 230230, 230230
21, 1, 65780, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
