opp
long_short
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 0, 0, 1
 4, 0, 0, 1
 5, 0, 0, 1
 6, 0, 0, 1
 7, 65683/328900, 131366, 657800
 8, 1255503/1562275, 1255503, 1562275
 9, 309513/312455, 3095130, 3124550
10, 46154/46189, 5307710, 5311735
11, 3862497/3863080, 7724994, 7726160
12, 4828723/4828850, 9657446, 9657700
13, 305899/305900, 10400566, 10400600
14, 4828849/4828850, 9657698, 9657700
15, 1, 7726160, 7726160
16, 1, 5311735, 5311735
17, 1, 3124550, 3124550
18, 1, 1562275, 1562275
19, 1, 657800, 657800
20, 1, 230230, 230230
21, 1, 65780, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
