o,p,p
l,o,n,g
0,1,2,22
0,1,2,24
0,1,3,21
0,1,3,23
0,1,4,20
0,1,4,22
0,1,19,5
0,1,21,5
0,1,18,6
0,1,20,6
0,1,17,7
0,1,19,7
0,1,8,16
0,1,18,8
0,1,9,15
0,1,9,17
0,1,10,14
0,1,10,16
0,1,11,13
0,1,11,15
0,1,12,14
0,2,3,20
0,24,2,3
0,2,19,4
0,2,4,23
0,2,18,5
0,2,5,22
0,17,2,6
0,2,21,6
0,16,2,7
0,2,20,7
0,8,2,15
0,8,2,19
0,9,2,14
0,9,2,18
0,2,10,13
0,17,2,10
0,16,2,11
0,2,12,15
0,18,3,4
0,24,3,4
0,17,3,5
0,3,5,23
0,16,3,6
0,3,6,22
0,3,15,7
0,3,21,7
0,8,3,14
0,8,3,20
0,9,3,13
0,9,3,19
0,18,10,3
0,11,3,12
0,11,3,17
0,16,3,12
0,3,13,14
0,16,4,5
0,24,4,5
0,4,6,15
0,4,6,23
0,4,14,7
0,4,22,7
0,8,4,13
0,8,4,21
0,9,4,20
0,10,4,12
0,10,19,4
0,18,11,4
0,17,4,12
0,4,13,15
0,5,6,14
0,24,5,6
0,13,5,7
0,23,5,7
0,8,5,22
0,9,12,5
0,9,21,5
0,10,11,5
0,10,20,5
0,19,11,5
0,18,12,5
0,16,13,5
0,5,14,15
0,24,6,7
0,8,12,6
0,8,6,23
0,9,11,6
0,9,6,22
0,10,21,6
0,11,20,6
0,19,12,6
0,17,13,6
0,16,6,14
0,8,11,7
0,8,24,7
0,9,10,7
0,9,23,7
0,10,22,7
0,11,21,7
0,12,20,7
0,18,13,7
0,17,14,7
0,16,15,7
0,8,9,24
0,8,10,23
0,8,11,22
0,8,12,21
0,8,19,13
0,8,18,14
0,8,17,15
0,9,10,24
0,9,11,23
0,9,12,22
0,9,20,13
0,9,19,14
0,9,18,15
0,9,16,17
0,24,10,11
0,10,12,23
0,10,21,13
0,10,20,14
0,10,19,15
0,16,10,18
0,24,11,12
0,11,13,22
0,11,21,14
0,11,20,15
0,16,11,19
0,17,18,11
0,12,13,23
0,12,14,22
0,12,21,15
0,16,12,20
0,17,19,12
0,24,13,14
0,23,13,15
0,16,13,22
0,17,21,13
0,18,20,13
0,24,14,15
0,16,14,23
0,17,14,22
0,18,21,14
0,19,20,14
0,16,24,15
0,17,23,15
0,18,22,15
0,19,21,15
0,16,17,24
0,16,18,23
0,16,19,22
0,16,20,21
0,17,18,24
0,17,19,23
0,17,20,22
0,24,18,19
0,18,20,23
0,18,21,22
0,24,19,20
0,19,21,23
