opp
short
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 57/650, 228, 2600
 4, 95/299, 4750, 14950
 5, 2048/3289, 40960, 65780
 6, 195859/230230, 195859, 230230
 7, 156973/164450, 627892, 657800
 8, 1543463/1562275, 1543463, 1562275
 9, 1557594/1562275, 3115188, 3124550
10, 1061595/1062347, 5307975, 5311735
11, 3862497/3863080, 7724994, 7726160
12, 4828723/4828850, 9657446, 9657700
13, 305899/305900, 10400566, 10400600
14, 4828849/4828850, 9657698, 9657700
15, 1, 7726160, 7726160
16, 1, 5311735, 5311735
17, 1, 3124550, 3124550
18, 1, 1562275, 1562275
19, 1, 657800, 657800
20, 1, 230230, 230230
21, 1, 65780, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
