o,p,p
s,h,o,r,t
0,1,12
0,1,13
0,2,11
0,2,14
0,10,3
0,3,15
0,9,4
0,16,4
0,8,5
0,17,5
0,6,7
0,18,6
0,19,7
0,8,20
0,9,21
0,10,22
0,11,23
0,24,12
1,2,12
1,2,13
11,1,3
1,3,14
1,10,4
1,4,15
1,5,9
16,1,5
8,1,6
1,6,17
1,18,7
8,1,19
1,20,9
1,10,21
1,11,22
1,12,23
1,13,25
2,3,12
2,3,13
2,11,4
2,4,14
2,10,5
2,5,15
9,2,6
16,2,6
8,2,7
17,2,7
8,2,18
9,2,19
2,10,20
2,11,21
2,12,22
24,2,13
25,2,14
3,4,12
3,4,13
11,3,5
3,5,14
10,3,6
3,6,15
9,3,7
16,3,7
8,17,3
9,18,3
19,10,3
11,3,20
3,12,21
3,13,23
24,3,14
25,3,15
12,4,5
13,4,5
11,4,6
4,6,14
10,4,7
4,15,7
8,9,4
8,16,4
9,4,17
10,18,4
19,11,4
20,4,12
4,13,22
4,14,23
24,4,15
16,25,4
12,5,6
13,5,6
11,5,7
5,14,7
8,10,5
8,5,15
16,9,5
17,10,5
18,11,5
19,12,5
13,21,5
5,14,22
23,5,15
16,24,5
17,5,25
12,6,7
13,6,7
8,11,6
8,6,14
9,10,6
9,6,15
16,10,6
17,11,6
18,12,6
20,13,6
21,6,14
22,6,15
16,6,23
24,17,6
25,18,6
8,12,7
8,13,7
9,11,7
9,14,7
10,15,7
16,11,7
17,12,7
19,13,7
20,14,7
15,21,7
16,22,7
17,23,7
24,18,7
25,19,7
8,9,12
8,9,13
8,10,11
8,10,14
8,11,15
8,16,12
8,18,13
8,19,14
8,20,15
8,16,21
8,17,22
8,18,23
8,24,19
8,25,20
9,10,12
9,10,13
9,11,14
9,12,15
9,13,17
9,18,14
9,19,15
16,9,20
9,21,17
9,18,22
9,19,23
24,9,20
9,21,25
10,11,12
10,11,13
10,12,14
16,10,13
17,10,14
10,18,15
16,10,19
17,10,20
10,18,21
10,19,22
10,20,23
24,10,21
25,10,22
11,12,13
11,13,15
16,11,14
17,11,15
16,18,11
19,17,11
18,11,20
19,11,21
11,20,22
11,21,23
24,11,22
25,11,23
12,13,14
12,14,15
16,12,15
16,17,12
17,18,12
18,19,12
19,12,20
21,12,20
12,21,22
12,22,23
24,12,23
24,25,12
13,14,15
16,13,15
16,17,13
17,18,13
18,19,13
19,20,13
21,20,13
21,13,22
13,22,23
24,13,23
24,25,13
17,14,15
16,18,14
17,19,14
18,20,14
19,21,14
20,14,22
21,14,23
24,14,22
25,14,23
16,19,15
17,20,15
18,21,15
19,22,15
20,23,15
24,21,15
25,22,15
16,17,21
16,18,22
16,19,23
16,24,20
16,25,21
17,18,23
24,17,19
17,20,25
25,18,19
